,CHFEUR=X,CHFJPY=X,CHFUSD=X,EURCHF=X,EURJPY=X,EURUSD=X,JPYCHF=X,JPYEUR=X,JPYUSD=X,USDCHF=X,USDEUR=X,USDJPY=X
CHFEUR=X,0,0,0,0,0,0,-2,1,0,-2,1,0
CHFJPY=X,0,0,0,-2,1,0,0,0,0,-2,0,1
CHFUSD=X,0,0,0,-2,0,1,-2,0,1,0,0,0
EURCHF=X,0,0,0,0,0,0,1,-2,0,1,-2,0
EURJPY=X,-2,1,0,0,0,0,0,0,0,0,-2,1
EURUSD=X,-2,0,1,0,0,0,0,-2,1,0,0,0
JPYCHF=X,0,0,0,1,-2,0,0,0,0,1,0,-2
JPYEUR=X,1,-2,0,0,0,0,0,0,0,0,1,-2
JPYUSD=X,0,-2,1,0,-2,1,0,0,0,0,0,0
USDCHF=X,0,0,0,1,0,-2,1,0,-2,0,0,0
USDEUR=X,1,0,-2,0,0,0,0,1,-2,0,0,0
USDJPY=X,0,1,-2,0,1,-2,0,0,0,0,0,0
